country_id,code,name,status
41,MKD,Mambere-KadeÔ,1
41,MBO,Mbomou,1
41,NMM,Nana-Mambere,1
41,OMP,Ombella-MPoko,1
41,OUK,Ouaka,1
41,OUH,Ouham,1
41,OPE,Ouham-Pende,1
41,VAK,Vakaga,1
41,NGR,Nana-Grebizi,1
41,SMB,Sangha-Mbaere,1
41,BAN,Bangui,1
42,BA,Batha,1
42,BI,Biltine,1
42,BE,Borkou-Ennedi-Tibesti,1
42,CB,Chari-Baguirmi,1
42,GU,Guera,1
42,KA,Kanem,1
42,LA,Lac,1
42,LC,LogoneOccidental,1
42,LR,LogoneOriental,1
42,MK,Mayo-Kebbi,1
42,MC,Moyen-Chari,1
42,OU,Ouaddai,1
42,SA,Salamat,1
42,TA,Tandjile,1
43,AI,AisendelGeneralCarlosIbanez,1
43,AN,Antofagasta,1
43,AR,Araucania,1
43,AT,Atacama,1
43,BI,Bio-Bio,1
43,CO,Coquimbo,1
43,LI,LibertadorGeneralBernardoOHi,1
43,LL,LosLagos,1
43,MA,MagallanesydelaAntarticaChi,1
43,ML,Maule,1
43,RM,RegionMetropolitana,1
43,TA,Tarapaca,1
43,VS,Valparaiso,1
44,AN,Anhui,1
44,BE,Beijing,1
44,CH,Chongqing,1
44,FU,Fujian,1
44,GA,Gansu,1
44,GU,Guangdong,1
44,GX,Guangxi,1
44,GZ,Guizhou,1
44,HA,Hainan,1
44,HB,Hebei,1
44,HL,Heilongjiang,1
44,HE,Henan,1
44,HK,HongKong,1
44,HU,Hubei,1
44,HN,Hunan,1
44,IM,InnerMongolia,1
44,JI,Jiangsu,1
44,JX,Jiangxi,1
44,JL,Jilin,1
44,LI,Liaoning,1
44,MA,Macau,1
44,NI,Ningxia,1
44,SH,Shaanxi,1
44,SA,Shandong,1
44,SG,Shanghai,1
44,SX,Shanxi,1
44,SI,Sichuan,1
44,TI,Tianjin,1
44,XI,Xinjiang,1
44,YU,Yunnan,1
44,ZH,Zhejiang,1
46,D,DirectionIsland,1
46,H,HomeIsland,1
46,O,HorsburghIsland,1
46,S,SouthIsland,1
46,W,WestIsland,1
47,AMZ,Amazonas,1
47,ANT,Antioquia,1
47,ARA,Arauca,1
47,ATL,Atlantico,1
47,BDC,BogotaD.C.,1
47,BOL,Bolivar,1
47,BOY,Boyaca,1
47,CAL,Caldas,1
47,CAQ,Caqueta,1
47,CAS,Casanare,1
47,CAU,Cauca,1
47,CES,Cesar,1
47,CHO,Choco,1
47,COR,Cordoba,1
47,CAM,Cundinamarca,1
47,GNA,Guainia,1
47,GJR,Guajira,1
47,GVR,Guaviare,1
47,HUI,Huila,1
47,MAG,Magdalena,1
47,MET,Meta,1
47,NAR,Narino,1
47,NDS,NortedeSantander,1
47,PUT,Putumayo,1
47,QUI,Quindio,1
47,RIS,Risaralda,1
47,SAP,SanAndresyProvidencia,1
47,SAN,Santander,1
47,SUC,Sucre,1
47,TOL,Tolima,1
47,VDC,ValledelCauca,1
47,VAU,Vaupes,1
47,VIC,Vichada,1
48,G,GrandeComore,1
48,A,Anjouan,1
48,M,Moheli,1
49,BO,Bouenza,1
49,BR,Brazzaville,1
49,CU,Cuvette,1
49,CO,Cuvette-Ouest,1
49,KO,Kouilou,1
49,LE,Lekoumou,1
49,LI,Likouala,1
49,NI,Niari,1
49,PL,Plateaux,1
49,PO,Pool,1
49,SA,Sangha,1
50,PU,Pukapuka,1
50,RK,Rakahanga,1
50,MK,Manihiki,1
50,PE,Penrhyn,1
50,NI,NassauIsland,1
50,SU,Surwarrow,1
50,PA,Palmerston,1
50,AI,Aitutaki,1
50,MA,Manuae,1
50,TA,Takutea,1
50,MT,Mitiaro,1
50,AT,Atiu,1
50,MU,Mauke,1
50,RR,Rarotonga,1
50,MG,Mangaia,1
51,AL,Alajuela,1
51,CA,Cartago,1
51,GU,Guanacaste,1
51,HE,Heredia,1
51,LI,Limon,1
51,PU,Puntarenas,1
51,SJ,SanJose,1
52,ABE,Abengourou,1
52,ABI,Abidjan,1
52,ABO,Aboisso,1
52,ADI,Adiake,1
52,ADZ,Adzope,1
52,AGB,Agboville,1
52,AGN,Agnibilekrou,1
52,ALE,Alepe,1
52,BOC,Bocanda,1
52,BAN,Bangolo,1
52,BEO,Beoumi,1
52,BIA,Biankouma,1
52,BDK,Bondoukou,1
52,BGN,Bongouanou,1
52,BFL,Bouafle,1
52,BKE,Bouake,1
52,BNA,Bouna,1
52,BDL,Boundiali,1
52,DKL,Dabakala,1
52,DBU,Dabou,1
52,DAL,Daloa,1
52,DAN,Danane,1
52,DAO,Daoukro,1
52,DIM,Dimbokro,1
52,DIV,Divo,1
52,DUE,Duekoue,1
52,FER,Ferkessedougou,1
52,GAG,Gagnoa,1
52,GBA,Grand-Bassam,1
52,GLA,Grand-Lahou,1
52,GUI,Guiglo,1
52,ISS,Issia,1
52,JAC,Jacqueville,1
52,KAT,Katiola,1
52,KOR,Korhogo,1
52,LAK,Lakota,1
52,MAN,Man,1
52,MKN,Mankono,1
